team,match,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Netherlands, Vs ,Colin Ackermann,4,0,28,0,7,9,1,2,0,0,ODI # 4663
Netherlands, Vs ,Bas de Leede,10,0,64,1,6.4,28,6,2,0,1,ODI # 4663
Netherlands, Vs ,Vikramjit Singh,1,0,9,0,9,1,1,0,0,0,ODI # 4663
New Zealand, Vs ,Trent Boult,8,0,34,0,4.25,29,3,0,1,0,ODI # 4663
New Zealand, Vs ,Matt Henry,8.3,0,40,3,4.7,29,4,0,0,0,ODI # 4663
New Zealand, Vs ,Mitchell Santner,10,0,59,5,5.9,30,4,2,0,0,ODI # 4663
New Zealand, Vs ,Lockie Ferguson,8,0,32,0,4,31,5,0,0,0,ODI # 4663
New Zealand, Vs ,Rachin Ravindra,10,0,46,1,4.6,30,3,1,0,1,ODI # 4663
New Zealand, Vs ,Glenn Phillips,2,0,11,0,5.5,2,0,0,0,0,ODI # 4663
South Africa, Vs ,Lungi Ngidi,9,1,57,2,6.33,31,5,1,6,1,ODI # 4672
South Africa, Vs ,Marco Jansen,8,1,27,2,3.37,36,3,0,6,0,ODI # 4672
South Africa, Vs ,Kagiso Rabada,9,1,56,2,6.22,30,5,2,3,0,ODI # 4672
South Africa, Vs ,Gerald Coetzee,8,0,57,1,7.12,25,5,3,2,0,ODI # 4672
South Africa, Vs ,Keshav Maharaj,9,0,38,1,4.22,34,5,0,0,0,ODI # 4672
Netherlands, Vs ,Aryan Dutt,5,1,19,0,3.8,21,3,0,0,0,ODI # 4672
Netherlands, Vs ,Logan van Beek,8.5,0,60,3,6.79,30,7,2,1,1,ODI # 4672
Netherlands, Vs ,Colin Ackermann,3,0,16,1,5.33,13,2,1,0,0,ODI # 4672
Netherlands, Vs ,Paul van Meekeren,9,0,40,2,4.44,33,4,1,0,0,ODI # 4672
Netherlands, Vs ,Roelof van der Merwe,9,0,34,2,3.77,29,1,1,0,0,ODI # 4672
Netherlands, Vs ,Bas de Leede,8,0,36,2,4.5,28,3,0,4,0,ODI # 4672
Pakistan, Vs ,Shaheen Shah Afridi,10,1,72,2,7.2,32,9,3,0,0,ODI # 4701
Pakistan, Vs ,Haris Rauf,10,0,64,3,6.4,32,7,0,3,0,ODI # 4701
Pakistan, Vs ,Iftikhar Ahmed,7,0,38,1,5.42,17,4,0,0,0,ODI # 4701
Pakistan, Vs ,Mohammad Wasim,10,0,74,2,7.4,26,7,3,1,0,ODI # 4701
Pakistan, Vs ,Shadab Khan,10,0,57,0,5.7,25,5,1,0,0,ODI # 4701
Pakistan, Vs ,Agha Salman,3,0,25,0,8.33,7,3,1,0,0,ODI # 4701
England, Vs ,David Willey,10,0,56,3,5.6,37,8,1,2,0,ODI # 4701
England, Vs ,Chris Woakes,5.3,0,27,1,4.9,22,5,0,0,0,ODI # 4701
England, Vs ,Adil Rashid,10,0,55,2,5.5,26,4,1,1,0,ODI # 4701
England, Vs ,Gus Atkinson,8,0,45,2,5.62,29,3,3,2,0,ODI # 4701
England, Vs ,Moeen Ali,10,0,60,2,6,27,7,1,0,0,ODI # 4701
Pakistan, Vs ,Shaheen Shah Afridi,9,0,66,1,7.33,27,9,1,4,0,ODI # 4665
Pakistan, Vs ,Hasan Ali,10,0,71,4,7.1,32,6,4,3,1,ODI # 4665
Pakistan, Vs ,Mohammad Nawaz,9,0,62,1,6.88,23,7,1,0,0,ODI # 4665
Pakistan, Vs ,Haris Rauf,10,0,64,2,6.4,30,6,2,1,0,ODI # 4665
Pakistan, Vs ,Shadab Khan,8,0,55,1,6.87,20,6,1,0,0,ODI # 4665
Pakistan, Vs ,Iftikhar Ahmed,4,0,22,0,5.5,11,2,0,1,0,ODI # 4665
Sri Lanka, Vs ,Maheesh Theekshana,10,0,59,1,5.9,23,3,0,1,0,ODI # 4665
Sri Lanka, Vs ,Dilshan Madushanka,9.2,0,60,2,6.42,27,5,1,2,1,ODI # 4665
Sri Lanka, Vs ,Dasun Shanaka,5,0,28,0,5.6,10,2,0,0,0,ODI # 4665
Sri Lanka, Vs ,Matheesha Pathirana,9,0,90,1,10,14,8,1,9,0,ODI # 4665
Sri Lanka, Vs ,Dunith Wellalage,10,0,62,0,6.2,24,4,2,0,0,ODI # 4665
Sri Lanka, Vs ,Dhananjaya de Silva,4,0,36,0,9,7,3,2,0,0,ODI # 4665
Sri Lanka, Vs ,Charith Asalanka,1,0,10,0,10,1,1,0,0,0,ODI # 4665
England, Vs ,Reece Topley,8.5,0,88,3,9.96,23,10,4,4,0,ODI # 4677
England, Vs ,David Willey,9,1,61,0,6.77,27,6,2,3,1,ODI # 4677
England, Vs ,Joe Root,6.1,0,48,0,7.78,6,2,2,0,0,ODI # 4677
England, Vs ,Gus Atkinson,9,0,60,2,6.66,27,6,2,1,0,ODI # 4677
England, Vs ,Mark Wood,7,0,76,0,10.85,9,10,2,1,0,ODI # 4677
England, Vs ,Adil Rashid,10,0,61,2,6.1,20,4,1,0,0,ODI # 4677
South Africa, Vs ,Lungi Ngidi,5,1,26,2,5.2,23,2,2,3,0,ODI # 4677
South Africa, Vs ,Marco Jansen,5,0,35,2,7,19,4,2,1,0,ODI # 4677
South Africa, Vs ,Kagiso Rabada,6,1,38,1,6.33,24,6,1,0,1,ODI # 4677
South Africa, Vs ,Gerald Coetzee,4,0,35,3,8.75,13,5,1,1,0,ODI # 4677
South Africa, Vs ,Keshav Maharaj,2,0,27,1,13.5,4,1,3,0,0,ODI # 4677
Bangladesh, Vs ,Mustafizur Rahman,10,0,70,0,7,26,6,3,0,0,ODI # 4664
Bangladesh, Vs ,Taskin Ahmed,6,0,38,1,6.33,19,4,1,2,0,ODI # 4664
Bangladesh, Vs ,Shoriful Islam,10,0,75,3,7.5,25,11,0,1,0,ODI # 4664
Bangladesh, Vs ,Mahedi Hasan,8,0,71,4,8.87,17,10,1,0,0,ODI # 4664
Bangladesh, Vs ,Shakib Al Hasan,10,0,52,1,5.2,25,4,0,1,0,ODI # 4664
Bangladesh, Vs ,Mehidy Hasan Miraz,6,0,55,0,9.16,10,6,2,0,0,ODI # 4664
England, Vs ,Chris Woakes,8,0,49,2,6.12,24,6,0,0,0,ODI # 4664
England, Vs ,Reece Topley,10,1,43,4,4.3,35,3,1,0,0,ODI # 4664
England, Vs ,Sam Curran,7.2,0,47,1,6.4,15,5,0,2,0,ODI # 4664
England, Vs ,Mark Wood,10,0,29,1,2.9,38,2,0,1,0,ODI # 4664
England, Vs ,Adil Rashid,10,0,42,1,4.2,31,1,1,0,0,ODI # 4664
England, Vs ,Liam Livingstone,3,0,13,1,4.33,11,0,1,0,0,ODI # 4664
Bangladesh, Vs ,Taskin Ahmed,6,0,32,1,5.33,23,3,1,1,0,ODI # 4660
Bangladesh, Vs ,Shoriful Islam,6.2,1,34,2,5.36,23,5,0,2,0,ODI # 4660
Bangladesh, Vs ,Mustafizur Rahman,7,1,28,1,4,26,2,1,0,0,ODI # 4660
Bangladesh, Vs ,Shakib Al Hasan,8,0,30,3,3.75,28,3,0,0,0,ODI # 4660
Bangladesh, Vs ,Mehidy Hasan Miraz,9,3,25,3,2.77,38,1,0,1,0,ODI # 4660
Bangladesh, Vs ,Mahmudullah,1,0,7,0,7,3,1,0,0,0,ODI # 4660
Afghanistan, Vs ,Fazalhaq Farooqi,5,0,19,1,3.8,22,2,0,2,0,ODI # 4660
Afghanistan, Vs ,Mujeeb Ur Rahman,7,0,30,0,4.28,26,3,1,0,0,ODI # 4660
Afghanistan, Vs ,Naveen-ul-Haq,5.4,0,31,1,5.47,14,2,0,1,1,ODI # 4660
Afghanistan, Vs ,Rashid Khan,9,0,48,0,5.33,24,5,0,0,0,ODI # 4660
Afghanistan, Vs ,Mohammad Nabi,6,1,18,0,3,20,0,0,1,0,ODI # 4660
Afghanistan, Vs ,Azmatullah Omarzai,2,0,9,1,4.5,7,1,0,0,0,ODI # 4660
Netherlands, Vs ,Aryan Dutt,10,0,48,1,4.8,37,7,0,2,0,ODI # 4659
Netherlands, Vs ,Logan van Beek,6,0,30,1,5,20,4,0,1,0,ODI # 4659
Netherlands, Vs ,Colin Ackermann,8,1,39,2,4.87,26,1,2,0,0,ODI # 4659
Netherlands, Vs ,Paul van Meekeren,6,0,40,1,6.66,16,5,0,2,0,ODI # 4659
Netherlands, Vs ,Bas de Leede,9,0,62,4,6.88,22,9,0,3,0,ODI # 4659
Netherlands, Vs ,Roelof van der Merwe,6,0,36,0,6,14,2,1,0,1,ODI # 4659
Netherlands, Vs ,Vikramjit Singh,2,0,16,0,8,5,3,0,0,0,ODI # 4659
Netherlands, Vs ,Saqib Zulfiqar,2,0,15,0,7.5,3,2,0,0,0,ODI # 4659
Pakistan, Vs ,Shaheen Shah Afridi,7,0,37,1,5.28,26,5,0,2,0,ODI # 4659
Pakistan, Vs ,Hasan Ali,7,1,33,2,4.71,31,6,0,4,0,ODI # 4659
Pakistan, Vs ,Haris Rauf,9,0,43,3,4.77,33,5,1,2,0,ODI # 4659
Pakistan, Vs ,Iftikhar Ahmed,3,0,16,1,5.33,7,1,0,0,0,ODI # 4659
Pakistan, Vs ,Mohammad Nawaz,7,0,31,1,4.42,23,2,1,0,0,ODI # 4659
Pakistan, Vs ,Shadab Khan,8,0,45,1,5.62,23,1,2,1,0,ODI # 4659
South Africa, Vs ,Lungi Ngidi,8.2,0,63,1,7.56,29,8,3,2,0,ODI # 4694
South Africa, Vs ,Marco Jansen,9.4,0,94,1,9.72,28,15,1,7,1,ODI # 4694
South Africa, Vs ,Kagiso Rabada,10,1,48,1,4.8,33,6,0,0,0,ODI # 4694
South Africa, Vs ,Keshav Maharaj,10,0,30,1,3,32,0,0,1,0,ODI # 4694
South Africa, Vs ,Tabraiz Shamsi,10,0,72,1,7.2,22,5,1,7,1,ODI # 4694
South Africa, Vs ,Aiden Markram,2,0,17,0,8.5,4,1,1,1,0,ODI # 4694
India, Vs ,Jasprit Bumrah,5,0,14,0,2.8,23,2,0,1,0,ODI # 4694
India, Vs ,Mohammed Siraj,4,1,11,1,2.75,18,1,0,0,0,ODI # 4694
India, Vs ,Ravindra Jadeja,9,1,33,5,3.66,37,5,0,0,0,ODI # 4694
India, Vs ,Mohammed Shami,4,0,18,2,4.5,16,2,0,1,0,ODI # 4694
India, Vs ,Kuldeep Yadav,5.1,1,7,2,1.35,24,0,0,0,0,ODI # 4694
